"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","query_id","query_symbol_count","query_mapped_symbol_count","query_entrez_count","background_symbol_count","background_mapped_symbol_count","background_entrez_count","clusterprofiler_pool","multiple_testing_scope"
"CC","GO:0005634","nucleus","220/448","429/1569",1.25832964776473e-32,4.29090409887774e-29,3.66505066880528e-29,"Fancf/Zfand2a/Cenpi/Osbpl11/Psmg2/Sf3b4/Rnf169/Supt16/Api5/Nr2f2/Arvcf/Hnrnpd/Fabp7/C1qbp/Ctnna2/Ccnd2/Cdkn1c/Cebpg/Crabp1/Creb1/Cstb/Dag1/Daxx/Dffa/Dlg1/Dmd/Dnmt3b/Ebf1/Ebf2/En2/Eomes/Epha3/Nr2f1/Erbb4/Mecom/Igf2bp1/Faf1/Aktip/Gabpb1/Hdgf/Hdgfl2/Hes5/Hmga2/Hoxb1/Hspa4/Elavl4/Id4/Lgals7/Lhx5/Lhx9/Smad2/Il17rd/Ccndbp1/Mcm3/Men1/Mknk2/Meis2/Meis3/Msx1/Nfs1/Nhlh1/Nhlh2/Mrpl40/Otx1/Pdcd6/Ppp2cb/Prkx/Psmb10/Psmc5/Ufsp2/Ash1l/Zfp286/Rad51/Raly/Ranbp1/Ranbp2/Rora/Polr1a/Polr2c/Atxn1/Scg5/Slc2a1/Snrpn/Sox11/Sox5/Sox6/Sox9/Srp14/Srpk2/Sde2/Ccdc62/Wwc1/Asxl3/Tcf7l2/Tfap2b/Vps72/Chtf18/Stox1/Wdr18/Dnajc27/Mis18bp1/Heatr1/Plscr1/Trip6/Ttk/Ttn/Ube2b/Nr1h2/Kdm6a/Ezr/Ipo9/Zpr1/Zfp28/Zfpm2/Rabl6/Zic1/Zic3/Ambra1/Acad9/Prdm13/Kdm4a/Tmem201/C87436/Zc3hc1/Zfp592/Nfrkb/Ofd1/Gadd45g/Dnajb6/Zfp994/Ralgapa2/Sbno1/Prag1/Phlpp2/Psma1/Poli/Exo1/Pank4/Zfp512/Prmt5/Npas3/Med10/Tor1a/Taf2/Bcorl1/Cenpt/Zfp532/Zfp236/Morc3/Atraid/Zfp873/Prr7/Sirt6/Jpt2/Cdca8/Suz12/Fam3b/Cpsf4/Pqbp1/Fnbp4/Nop58/Rybp/Spen/Ankrd49/Gmnn/Noc3l/Elp2/Mkks/Polr1e/Eef1e1/Dimt1/Eapp/Senp7/Rtca/Polr2l/Rdm1/Ccnh/Gatad1/Med31/Carnmt1/Ubxn4/Upf3b/Gar1/Ankra2/Ebna1bp2/Cdk12/Elf2/Rfc3/Ipmk/Coa7/Meaf6/Ube2q1/Gtpbp3/Tspan2/Suds3/Ercc8/Xpo5/Palld/Cdkn3/Rrp1b/Fezf1/Bloc1s2/Rbm20/Pop7/Opa1/Eaf1/Samd4/Usp38/Akap13/Ncapg2/Usp45/Nav2/Naa38/Cdk19/Polr3h/Wwox/Trps1/Phip/Mrpl36/Lbr",220,"s10_phase_1",483,455,455,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0070013","intracellular organelle lumen","153/448","280/1569",1.59507023567791e-24,1.35979737591542e-21,1.16146298476863e-21,"Fancf/Cenpi/Osbpl11/Rnf169/Etfa/Supt16/Api5/Nr2f2/Hnrnpd/C1qbp/Ccnd2/Cebpg/Cox17/Creb1/Cstb/Dag1/Daxx/Dnmt3b/Ebf1/En2/Eomes/Epha3/Nr2f1/Mecom/Igf2bp1/Faf1/Gabpb1/Hdgf/Hes5/Hmga2/Hoxb1/Hspd1/Id4/Smad2/Il17rd/Ccndbp1/Mcm3/Men1/Mknk2/Msx1/Nfs1/Mrpl40/Mrpl49/Pdcd6/Pomc/Prkx/Psmb10/Psmc5/Ash1l/Rad51/Ranbp2/Rora/Polr1a/Polr2c/Atxn1/Snrpn/Sox11/Sox6/Sox9/Srpk2/Sde2/Tcf7l2/Vps72/Chtf18/Stox1/Polrmt/Wdr18/Heatr1/Plscr1/Ttn/Kdm6a/Ezr/Poglut1/Wnt3a/Wnt7b/Zpr1/Zfpm2/Zic1/Zic3/Kdm4a/C87436/Zc3hc1/Nfrkb/Gpc6/Dnajb6/Phlpp2/Psma1/Poli/Exo1/Prmt5/Npas3/Med10/Tor1a/Taf2/Bcorl1/Cenpt/Morc3/Fastkd5/Prr7/Sirt6/Polg2/Cdca8/Suz12/Fam3b/Cpsf4/Pqbp1/Fnbp4/Nop58/Rybp/Spen/Mlycd/Noc3l/Elp2/Polr1e/Eef1e1/Dimt1/Eapp/Rtca/Mrpl11/Polr2l/Rdm1/Ccnh/Gatad1/Med31/Upf3b/Gar1/Acss1/Ebna1bp2/Cdk12/Elf2/Ipmk/Coa7/Meaf6/Tspan2/Coasy/Suds3/Ercc8/Xpo5/Rrp1b/Fezf1/Pop7/Opa1/Eaf1/Samd4/Ncapg2/Usp45/Nav2/Naa38/Cdk19/Polr3h/Trps1/Mrpl36/Lbr",153,"s10_phase_1",483,455,455,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0031974","membrane-enclosed lumen","153/448","280/1569",1.59507023567791e-24,1.35979737591542e-21,1.16146298476863e-21,"Fancf/Cenpi/Osbpl11/Rnf169/Etfa/Supt16/Api5/Nr2f2/Hnrnpd/C1qbp/Ccnd2/Cebpg/Cox17/Creb1/Cstb/Dag1/Daxx/Dnmt3b/Ebf1/En2/Eomes/Epha3/Nr2f1/Mecom/Igf2bp1/Faf1/Gabpb1/Hdgf/Hes5/Hmga2/Hoxb1/Hspd1/Id4/Smad2/Il17rd/Ccndbp1/Mcm3/Men1/Mknk2/Msx1/Nfs1/Mrpl40/Mrpl49/Pdcd6/Pomc/Prkx/Psmb10/Psmc5/Ash1l/Rad51/Ranbp2/Rora/Polr1a/Polr2c/Atxn1/Snrpn/Sox11/Sox6/Sox9/Srpk2/Sde2/Tcf7l2/Vps72/Chtf18/Stox1/Polrmt/Wdr18/Heatr1/Plscr1/Ttn/Kdm6a/Ezr/Poglut1/Wnt3a/Wnt7b/Zpr1/Zfpm2/Zic1/Zic3/Kdm4a/C87436/Zc3hc1/Nfrkb/Gpc6/Dnajb6/Phlpp2/Psma1/Poli/Exo1/Prmt5/Npas3/Med10/Tor1a/Taf2/Bcorl1/Cenpt/Morc3/Fastkd5/Prr7/Sirt6/Polg2/Cdca8/Suz12/Fam3b/Cpsf4/Pqbp1/Fnbp4/Nop58/Rybp/Spen/Mlycd/Noc3l/Elp2/Polr1e/Eef1e1/Dimt1/Eapp/Rtca/Mrpl11/Polr2l/Rdm1/Ccnh/Gatad1/Med31/Upf3b/Gar1/Acss1/Ebna1bp2/Cdk12/Elf2/Ipmk/Coa7/Meaf6/Tspan2/Coasy/Suds3/Ercc8/Xpo5/Rrp1b/Fezf1/Pop7/Opa1/Eaf1/Samd4/Ncapg2/Usp45/Nav2/Naa38/Cdk19/Polr3h/Trps1/Mrpl36/Lbr",153,"s10_phase_1",483,455,455,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0043233","organelle lumen","153/448","280/1569",1.59507023567791e-24,1.35979737591542e-21,1.16146298476863e-21,"Fancf/Cenpi/Osbpl11/Rnf169/Etfa/Supt16/Api5/Nr2f2/Hnrnpd/C1qbp/Ccnd2/Cebpg/Cox17/Creb1/Cstb/Dag1/Daxx/Dnmt3b/Ebf1/En2/Eomes/Epha3/Nr2f1/Mecom/Igf2bp1/Faf1/Gabpb1/Hdgf/Hes5/Hmga2/Hoxb1/Hspd1/Id4/Smad2/Il17rd/Ccndbp1/Mcm3/Men1/Mknk2/Msx1/Nfs1/Mrpl40/Mrpl49/Pdcd6/Pomc/Prkx/Psmb10/Psmc5/Ash1l/Rad51/Ranbp2/Rora/Polr1a/Polr2c/Atxn1/Snrpn/Sox11/Sox6/Sox9/Srpk2/Sde2/Tcf7l2/Vps72/Chtf18/Stox1/Polrmt/Wdr18/Heatr1/Plscr1/Ttn/Kdm6a/Ezr/Poglut1/Wnt3a/Wnt7b/Zpr1/Zfpm2/Zic1/Zic3/Kdm4a/C87436/Zc3hc1/Nfrkb/Gpc6/Dnajb6/Phlpp2/Psma1/Poli/Exo1/Prmt5/Npas3/Med10/Tor1a/Taf2/Bcorl1/Cenpt/Morc3/Fastkd5/Prr7/Sirt6/Polg2/Cdca8/Suz12/Fam3b/Cpsf4/Pqbp1/Fnbp4/Nop58/Rybp/Spen/Mlycd/Noc3l/Elp2/Polr1e/Eef1e1/Dimt1/Eapp/Rtca/Mrpl11/Polr2l/Rdm1/Ccnh/Gatad1/Med31/Upf3b/Gar1/Acss1/Ebna1bp2/Cdk12/Elf2/Ipmk/Coa7/Meaf6/Tspan2/Coasy/Suds3/Ercc8/Xpo5/Rrp1b/Fezf1/Pop7/Opa1/Eaf1/Samd4/Ncapg2/Usp45/Nav2/Naa38/Cdk19/Polr3h/Trps1/Mrpl36/Lbr",153,"s10_phase_1",483,455,455,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"MF","GO:0003676","nucleic acid binding","121/448","203/1569",2.17706147908045e-23,1.35987798722927e-20,1.16153183845142e-20,"Sf3b4/Api5/Nr2f2/Hnrnpd/C1qbp/Cebpg/Creb1/Dnmt3b/Ebf1/Ebf2/En2/Eomes/Nr2f1/Erbb4/Mecom/Igf2bp1/Gabpb1/Hdgf/Hes5/Hmga2/Hoxb1/Hspd1/Elavl4/Lhx5/Lhx9/Smad2/Mcm3/Men1/Meis2/Meis3/Msx1/Nhlh1/Nhlh2/Otx1/Ash1l/Zfp286/Rad51/Raly/Ranbp2/Rora/Polr1a/Polr2c/Atxn1/Snrpn/Sox11/Sox5/Sox6/Sox9/Srp14/Sde2/Asxl3/Tal2/Tcf7l2/Tfap2b/Vps72/Chtf18/Stox1/Polrmt/Mis18bp1/Heatr1/Plscr1/Nr1h2/Kdm6a/Aars2/Zfp28/Zfpm2/Zic1/Zic3/Prdm13/Zfp362/Zfp592/Nfrkb/Enox1/Dnajb6/Zfp994/Sbno1/Poli/Exo1/Zfp512/Nat14/Prmt5/Npas3/Taf2/Cenpt/Zfp532/Zfp236/Gm14325/Morc3/Fastkd5/Zfp873/Sirt6/Polg2/Suz12/Cpsf4/Pqbp1/Nop58/Rybp/Spen/Hbs1l/Polr1e/Dimt1/Mrpl11/Polr2l/Rdm1/Bend4/Gatad1/Upf3b/Gar1/Elf2/Rfc3/Fars2/Xpo5/Fezf1/Rbm20/Pop7/Samd4/Naa38/Polr3h/Trps1/Zkscan8/Lbr",121,"s10_phase_1",483,455,455,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0090304","nucleic acid metabolic process","164/448","315/1569",2.39274719160575e-23,1.35987798722927e-20,1.16153183845142e-20,"Fancf/Sf3b4/Rnf169/Supt16/Nr2f2/Arvcf/Hnrnpd/Bmpr1a/C1qbp/Cdkn1c/Cebpg/Creb1/Daxx/Dffa/Dlg1/Dmd/Dnmt3b/Ebf1/Ebf2/En2/Eomes/Nr2f1/Erbb4/Mecom/Igf2bp1/Faf1/Fzd7/Gabpb1/Hba-x/Hbb-bh1/Hdgf/Hdgfl2/Hes5/Hmga2/Hoxb1/Hspd1/Elavl4/Id4/Lhx5/Lhx9/Smad2/Mcm3/Mdk/Men1/Meis2/Meis3/Msx1/Nhlh1/Nhlh2/Otx1/Pomc/Ppp2cb/Psmc5/Ash1l/Zfp286/Rad51/Raly/Rora/Polr1a/Polr2c/Atxn1/Snrpn/Sox11/Sox5/Sox6/Sox9/Srpk2/Sde2/Ccdc62/Wwc1/Asxl3/Tal2/Tcf7l2/Tfap2b/Vps72/Chtf18/Stox1/Polrmt/Wdr18/Heatr1/Plscr1/Ube2b/Nr1h2/Kdm6a/Ezr/Wnt3a/Aars2/Zpr1/Zfp28/Zfpm2/Zic1/Zic3/Ambra1/Mavs/Prdm13/Kdm4a/Zfp362/Nfrkb/Dnajb6/Zfp994/Sbno1/Poli/Exo1/Prmt5/Npas3/Med10/Taf2/Bcorl1/Zfp236/Gm14325/Morc3/Fastkd5/Zfp873/Prr7/Sirt6/Polg2/Suz12/Pdlim1/Cpsf4/Pqbp1/Rybp/Spen/Hbs1l/Ankrd49/Gmnn/Noc3l/Elp2/Polr1e/Ndfip1/Dimt1/Eapp/Rtca/Polr2l/Ccnh/Gatad1/Med31/Upf3b/Gar1/Ebna1bp2/Cdk12/Elf2/Rfc3/Fars2/Meaf6/Gtpbp3/Slc25a33/Suds3/Ercc8/Rrp1b/Fezf1/Bloc1s2/Rbm20/Pop7/Eaf1/Samd4/Ncapg2/Usp45/Polr3h/Wwox/Cacng7/Trps1/Phip/Zkscan8/Commd7",164,"s10_phase_1",483,455,455,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0006139","nucleobase-containing compound metabolic process","175/448","346/1569",2.94824953169198e-23,1.43621870043852e-20,1.22673781266041e-20,"Fancf/Sf3b4/Rnf169/Mpi/Supt16/Ada/Nr2f2/Arvcf/Hnrnpd/Bmpr1a/C1qbp/Cdkn1c/Cebpg/Creb1/Daxx/Dffa/Dlg1/Dmd/Dnmt3b/Ebf1/Ebf2/En2/Eomes/Nr2f1/Erbb4/Mecom/Igf2bp1/Faf1/Fzd7/Gabpb1/Hba-x/Hbb-bh1/Hdgf/Hdgfl2/Hes5/Hmga2/Hoxb1/Hspd1/Elavl4/Id4/Ldhb/Lhx5/Lhx9/Smad2/Mcm3/Mdk/Men1/Meis2/Meis3/Msx1/Nhlh1/Nhlh2/Otx1/Pomc/Ppp2cb/Psmc5/Pipox/Ash1l/Zfp286/Rad51/Raly/Rora/Polr1a/Polr2c/Atxn1/Snrpn/Sox11/Sox5/Sox6/Sox9/Srpk2/Sde2/Ccdc62/Wwc1/Asxl3/Tal2/Tcf7l2/Tfap2b/Vps72/Chtf18/Stox1/Polrmt/Wdr18/Heatr1/Plscr1/Ube2b/Nr1h2/Kdm6a/Ezr/Wnt3a/Aars2/Zpr1/Zfp28/Zfpm2/Zic1/Zic3/Ambra1/Mavs/Prdm13/Kdm4a/Zfp362/Nfrkb/Pfas/Dnajb6/Zfp994/Sbno1/Poli/Exo1/Pank4/Prmt5/Npas3/Med10/Taf2/Bcorl1/Zfp236/Gm14325/Morc3/Fastkd5/Zfp873/Prr7/Sirt6/Polg2/Suz12/Pdlim1/Cpsf4/Pqbp1/Rybp/Spen/Hbs1l/Ankrd49/Mlycd/Gmnn/Noc3l/Elp2/Polr1e/Ndfip1/Ndufb9/Dimt1/Eapp/Rtca/Polr2l/Ccnh/Gatad1/Med31/Upf3b/Gar1/Acss1/Ebna1bp2/Cdk12/Elf2/Rfc3/Fars2/Meaf6/Gtpbp3/Slc25a33/Coasy/Suds3/Ercc8/Rrp1b/Fezf1/Bloc1s2/Rbm20/Pop7/Opa1/Eaf1/Samd4/Ncapg2/Usp45/Polr3h/Wwox/Cacng7/Trps1/Phip/Zkscan8/Commd7",175,"s10_phase_1",483,455,455,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"MF","GO:1901363","heterocyclic compound binding","173/448","344/1569",1.50737565056653e-22,6.42518871053985e-20,5.48803740147052e-20,"Arl1/Cyp4f15/Psat1/Sf3b4/Etfa/Ada/Api5/Nr2f2/Rnd2/Hnrnpd/Bmpr1a/C1qbp/Cebpg/Clcn3/Creb1/Dnmt3b/Ebf1/Ebf2/En2/Eomes/Epha3/Nr2f1/Erbb4/Mecom/Igf2bp1/Gabpb1/Gk/Hba-x/Hbb-bh1/Hdgf/Hes5/Hmga2/Hoxb1/Hspd1/Hspa4/Elavl4/Ldhb/Lhx5/Lhx9/Smad2/Mcm3/Men1/Mknk2/Meis2/Meis3/Msx1/Nfs1/Nhlh1/Nhlh2/Otx1/Prkg1/Prkx/Psmc5/Pipox/Ash1l/Zfp286/Rad51/Raly/Ranbp2/Rora/Polr1a/Polr2c/Atxn1/Snrpn/Sox11/Sox5/Sox6/Sox9/Srp14/Srpk2/Sde2/Asxl3/Tal2/Tcf7l2/Tfap2b/Vps72/Chtf18/Stox1/Polrmt/Dnajc27/Mis18bp1/Heatr1/Plscr1/Ttk/Ttn/Ube2b/Nr1h2/Kdm6a/Pi4ka/Aars2/Flvcr1/Zfp28/Zfpm2/Rabl6/Zic1/Zic3/Acad9/Prdm13/Zfp362/Zfp592/Nfrkb/Pfas/Enox1/Dnajb6/Zfp994/Sbno1/Prag1/Poli/Exo1/Pank4/Zfp512/Nat14/Prmt5/Npas3/Tor1a/Taf2/Cenpt/Zfp532/Zfp236/Gm14325/Morc3/Fastkd5/Zfp873/Sirt6/Polg2/Suz12/Rab11a/Actr1a/Cpsf4/Pqbp1/Nop58/Rala/Rybp/Spen/Hbs1l/Mkks/Polr1e/Dimt1/Rtca/Mrpl11/Polr2l/Rdm1/Bend4/Rras2/Gatad1/Rab39b/Upf3b/Gar1/Acss1/Cdk12/Elf2/Rfc3/Ipmk/Fars2/Ube2q1/Gtpbp3/Coasy/Bbs10/Xpo5/Fezf1/Tubb2b/Rbm20/Pop7/Opa1/Samd4/Arfrp1/Naa38/Cdk19/Polr3h/Tex14/Trps1/Zkscan8/Lbr",173,"s10_phase_1",483,455,455,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"MF","GO:0097159","organic cyclic compound binding","175/448","351/1569",2.73675974089834e-22,1.03692785738482e-19,8.85685871703591e-20,"Arl1/Osbpl11/Cyp4f15/Psat1/Sf3b4/Etfa/Ada/Api5/Nr2f2/Rnd2/Hnrnpd/Bmpr1a/C1qbp/Cebpg/Clcn3/Creb1/Dnmt3b/Ebf1/Ebf2/En2/Eomes/Epha3/Nr2f1/Erbb4/Mecom/Igf2bp1/Gabpb1/Gk/Hba-x/Hbb-bh1/Hdgf/Hes5/Hmga2/Hoxb1/Hspd1/Hspa4/Elavl4/Ldhb/Lhx5/Lhx9/Smad2/Mcm3/Men1/Mknk2/Meis2/Meis3/Msx1/Nfs1/Nhlh1/Nhlh2/Otx1/Prkg1/Prkx/Psmc5/Pipox/Ash1l/Zfp286/Rad51/Raly/Ranbp2/Rora/Polr1a/Polr2c/Atxn1/Snrpn/Sox11/Sox5/Sox6/Sox9/Srp14/Srpk2/Star/Sde2/Asxl3/Tal2/Tcf7l2/Tfap2b/Vps72/Chtf18/Stox1/Polrmt/Dnajc27/Mis18bp1/Heatr1/Plscr1/Ttk/Ttn/Ube2b/Nr1h2/Kdm6a/Pi4ka/Aars2/Flvcr1/Zfp28/Zfpm2/Rabl6/Zic1/Zic3/Acad9/Prdm13/Zfp362/Zfp592/Nfrkb/Pfas/Enox1/Dnajb6/Zfp994/Sbno1/Prag1/Poli/Exo1/Pank4/Zfp512/Nat14/Prmt5/Npas3/Tor1a/Taf2/Cenpt/Zfp532/Zfp236/Gm14325/Morc3/Fastkd5/Zfp873/Sirt6/Polg2/Suz12/Rab11a/Actr1a/Cpsf4/Pqbp1/Nop58/Rala/Rybp/Spen/Hbs1l/Mkks/Polr1e/Dimt1/Rtca/Mrpl11/Polr2l/Rdm1/Bend4/Rras2/Gatad1/Rab39b/Upf3b/Gar1/Acss1/Cdk12/Elf2/Rfc3/Ipmk/Fars2/Ube2q1/Gtpbp3/Coasy/Bbs10/Xpo5/Fezf1/Tubb2b/Rbm20/Pop7/Opa1/Samd4/Arfrp1/Naa38/Cdk19/Polr3h/Tex14/Trps1/Zkscan8/Lbr",175,"s10_phase_1",483,455,455,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0031981","nuclear lumen","134/448","242/1569",8.28952063490356e-22,2.82672653650212e-19,2.4144319575556e-19,"Fancf/Cenpi/Osbpl11/Rnf169/Supt16/Api5/Nr2f2/Hnrnpd/Ccnd2/Cebpg/Creb1/Cstb/Dag1/Daxx/Dnmt3b/Ebf1/En2/Eomes/Epha3/Nr2f1/Mecom/Igf2bp1/Faf1/Gabpb1/Hdgf/Hes5/Hmga2/Hoxb1/Id4/Smad2/Il17rd/Ccndbp1/Mcm3/Men1/Mknk2/Msx1/Nfs1/Mrpl40/Pdcd6/Prkx/Psmb10/Psmc5/Ash1l/Rad51/Ranbp2/Rora/Polr1a/Polr2c/Atxn1/Snrpn/Sox11/Sox6/Sox9/Srpk2/Sde2/Tcf7l2/Vps72/Chtf18/Stox1/Wdr18/Heatr1/Plscr1/Ttn/Kdm6a/Ezr/Zpr1/Zfpm2/Zic1/Zic3/Kdm4a/C87436/Zc3hc1/Nfrkb/Dnajb6/Phlpp2/Psma1/Poli/Exo1/Prmt5/Npas3/Med10/Taf2/Bcorl1/Cenpt/Morc3/Prr7/Sirt6/Cdca8/Suz12/Cpsf4/Pqbp1/Fnbp4/Nop58/Rybp/Spen/Noc3l/Elp2/Polr1e/Eef1e1/Dimt1/Eapp/Rtca/Polr2l/Rdm1/Ccnh/Gatad1/Med31/Upf3b/Gar1/Ebna1bp2/Cdk12/Elf2/Ipmk/Coa7/Meaf6/Tspan2/Suds3/Ercc8/Xpo5/Rrp1b/Fezf1/Pop7/Opa1/Eaf1/Samd4/Ncapg2/Usp45/Nav2/Naa38/Cdk19/Polr3h/Trps1/Mrpl36/Lbr",134,"s10_phase_1",483,455,455,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
