dataset,arm,target,space,projection_repeat,projection_seed,projection_sha256,n_projections,sliced_w2,n_predicted,n_observed,predicted_mass,observed_mass_relative,tmv_absolute,tmv,weights_semantics,inference_seed
zebrafish,interaction_on,2.0,joint,4,3110794264,58cf265de59cb5892109becba428ea95269bab240bb6b5b87ee2d92d4b02ee2e,1024,0.039390557835888,5000,2081,3.623943300888641,3.6962699822380105,0.0723266813493697,0.01956747794315,native_unnormalised_growth_mass,42
zebrafish,interaction_on,2.0,state,0,487788036,a7822afd3640ed8a95c2ca97a39159db0e119179671380a19920a0648f61fdd2,1024,0.0403519156903511,5000,2081,3.623943300888641,3.6962699822380105,0.0723266813493697,0.01956747794315,native_unnormalised_growth_mass,42
zebrafish,interaction_on,2.0,state,1,1980219439,66d43ac5c5cbeb3b2f040d8c8b2c87c15fc6a1c63d6404b0ef3e7b0470c8854c,1024,0.0402519690374066,5000,2081,3.623943300888641,3.6962699822380105,0.0723266813493697,0.01956747794315,native_unnormalised_growth_mass,42
zebrafish,interaction_on,2.0,state,2,3678780881,0782d8a192db86b8946a1794acdd2150022d6e736a9fc431d7e23fc9076bb14b,1024,0.039497195806431,5000,2081,3.623943300888641,3.6962699822380105,0.0723266813493697,0.01956747794315,native_unnormalised_growth_mass,42
zebrafish,interaction_on,2.0,state,3,1745126195,84aee1cb65e0a771fbbbdcb28ac3c238e424f7bf7d106248b8a23522aac14bb1,1024,0.0414809826912019,5000,2081,3.623943300888641,3.6962699822380105,0.0723266813493697,0.01956747794315,native_unnormalised_growth_mass,42
zebrafish,interaction_on,2.0,state,4,3477389265,df27f0b5f20fd4a004dafe73721dd739a786f447481570f3155132ae309b741f,1024,0.0395337701632123,5000,2081,3.623943300888641,3.6962699822380105,0.0723266813493697,0.01956747794315,native_unnormalised_growth_mass,42
zebrafish,interaction_on,2.0,spatial,0,1670110090,767c44379bda8d47073cb6c104b8b07879cf27122978f1f29ceeb3063bfd7ea2,1024,0.019162941762731,5000,2081,3.623943300888641,3.6962699822380105,0.0723266813493697,0.01956747794315,native_unnormalised_growth_mass,42
zebrafish,interaction_on,2.0,spatial,1,2286773041,04877c297b8a8c3e33a8e17aeaef4282e7e2942c5412f6408645166bac652c27,1024,0.0192057005649491,5000,2081,3.623943300888641,3.6962699822380105,0.0723266813493697,0.01956747794315,native_unnormalised_growth_mass,42
zebrafish,interaction_on,2.0,spatial,2,494369678,2afe363c34ef1aa5b8aeb8babab4a252a3b2ea6c72c36126a724f190f5eb78e9,1024,0.0191829669179889,5000,2081,3.623943300888641,3.6962699822380105,0.0723266813493697,0.01956747794315,native_unnormalised_growth_mass,42
zebrafish,interaction_on,2.0,spatial,3,529427801,9cd1923d65e2790d0d9e0256bb5bc90a9351d29726442691244027c8558dc5cf,1024,0.0193339447716976,5000,2081,3.623943300888641,3.6962699822380105,0.0723266813493697,0.01956747794315,native_unnormalised_growth_mass,42
zebrafish,interaction_on,2.0,spatial,4,3447347896,e8495ce7b502e9821d154354982cf5061c1b88f8f0480cb3ba08acea6e5f0d15,1024,0.0193774092613522,5000,2081,3.623943300888641,3.6962699822380105,0.0723266813493697,0.01956747794315,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,joint,0,1459036019,e45629b3707b31872916c1d1c90bd7afd2dfc8afb09ec7c21bd31badcb476390,1024,0.0309382256975197,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,joint,1,3958881870,f4fedc00449e3353c974ef8af2642db6f5b31754a21ecc904af9eed4c0256eda,1024,0.0313872261846821,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,joint,2,3510727012,4c41cc518f091f88c12516f0d9d9bd0768246a2a538a28a41f7660de63bcc9b0,1024,0.0313142302728654,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,joint,3,371533113,10c301ceb6f64aa57759a3f19c3057161798f95c91687d8081b60308c84e171a,1024,0.0318478207329375,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,joint,4,3110794264,58cf265de59cb5892109becba428ea95269bab240bb6b5b87ee2d92d4b02ee2e,1024,0.0310160274837524,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,state,0,487788036,a7822afd3640ed8a95c2ca97a39159db0e119179671380a19920a0648f61fdd2,1024,0.0329552155906898,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,state,1,1980219439,66d43ac5c5cbeb3b2f040d8c8b2c87c15fc6a1c63d6404b0ef3e7b0470c8854c,1024,0.032588405780047,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,state,2,3678780881,0782d8a192db86b8946a1794acdd2150022d6e736a9fc431d7e23fc9076bb14b,1024,0.0339971368518171,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,state,3,1745126195,84aee1cb65e0a771fbbbdcb28ac3c238e424f7bf7d106248b8a23522aac14bb1,1024,0.0331254146535326,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,state,4,3477389265,df27f0b5f20fd4a004dafe73721dd739a786f447481570f3155132ae309b741f,1024,0.0330053027429074,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,spatial,0,1670110090,767c44379bda8d47073cb6c104b8b07879cf27122978f1f29ceeb3063bfd7ea2,1024,0.0226524723631453,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,spatial,1,2286773041,04877c297b8a8c3e33a8e17aeaef4282e7e2942c5412f6408645166bac652c27,1024,0.0227349883004205,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,spatial,2,494369678,2afe363c34ef1aa5b8aeb8babab4a252a3b2ea6c72c36126a724f190f5eb78e9,1024,0.0226640997656106,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,spatial,3,529427801,9cd1923d65e2790d0d9e0256bb5bc90a9351d29726442691244027c8558dc5cf,1024,0.0227763217454847,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,3.0,spatial,4,3447347896,e8495ce7b502e9821d154354982cf5061c1b88f8f0480cb3ba08acea6e5f0d15,1024,0.0229182516923903,5000,3048,5.309718613367295,5.413854351687389,0.1041357383200942,0.019235046152957,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,joint,0,1459036019,e45629b3707b31872916c1d1c90bd7afd2dfc8afb09ec7c21bd31badcb476390,1024,0.2803541396477135,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,joint,1,3958881870,f4fedc00449e3353c974ef8af2642db6f5b31754a21ecc904af9eed4c0256eda,1024,0.2703822946924551,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,joint,2,3510727012,4c41cc518f091f88c12516f0d9d9bd0768246a2a538a28a41f7660de63bcc9b0,1024,0.2728651944823989,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,joint,3,371533113,10c301ceb6f64aa57759a3f19c3057161798f95c91687d8081b60308c84e171a,1024,0.286965422831172,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,joint,4,3110794264,58cf265de59cb5892109becba428ea95269bab240bb6b5b87ee2d92d4b02ee2e,1024,0.279473044466633,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,state,0,487788036,a7822afd3640ed8a95c2ca97a39159db0e119179671380a19920a0648f61fdd2,1024,0.2840242432578618,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,state,1,1980219439,66d43ac5c5cbeb3b2f040d8c8b2c87c15fc6a1c63d6404b0ef3e7b0470c8854c,1024,0.3001539132967817,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,state,2,3678780881,0782d8a192db86b8946a1794acdd2150022d6e736a9fc431d7e23fc9076bb14b,1024,0.3060403678219646,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,state,3,1745126195,84aee1cb65e0a771fbbbdcb28ac3c238e424f7bf7d106248b8a23522aac14bb1,1024,0.2881283723072691,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,state,4,3477389265,df27f0b5f20fd4a004dafe73721dd739a786f447481570f3155132ae309b741f,1024,0.291039658315343,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,spatial,0,1670110090,767c44379bda8d47073cb6c104b8b07879cf27122978f1f29ceeb3063bfd7ea2,1024,0.0597005679424378,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,spatial,1,2286773041,04877c297b8a8c3e33a8e17aeaef4282e7e2942c5412f6408645166bac652c27,1024,0.0596377656413384,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,spatial,2,494369678,2afe363c34ef1aa5b8aeb8babab4a252a3b2ea6c72c36126a724f190f5eb78e9,1024,0.059457114812763,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
zebrafish,interaction_on,4.0,spatial,3,529427801,9cd1923d65e2790d0d9e0256bb5bc90a9351d29726442691244027c8558dc5cf,1024,0.060147075794762,5000,5271,9.469718221691435,9.36234458259325,0.1073736390981867,0.0114686698562472,native_unnormalised_growth_mass,42
