time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver
0.5,"[""WNT2B"",""FZD3_LRP5""]",WNT2B,FZD3_LRP5,WNT2B_FZD3_LRP5,0.28433312671272865,0.1708276274832797,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""WNT2B"",""FZD3_LRP5""]",WNT2B,FZD3_LRP5,WNT2B_FZD3_LRP5,0.2713546629682634,0.17883046882873252,131,19,19,0,361,wntEGC,wntEGC
1.5,"[""WNT2B"",""FZD3_LRP5""]",WNT2B,FZD3_LRP5,WNT2B_FZD3_LRP5,0.4920131827572054,0.26858672844153386,126,19,19,0,361,wntEGC,wntEGC
2.0,"[""WNT2B"",""FZD3_LRP5""]",WNT2B,FZD3_LRP5,WNT2B_FZD3_LRP5,0.42839461291375186,0.15603349507058814,185,18,18,0,324,wntEGC,wntEGC
2.5,"[""WNT2B"",""FZD3_LRP5""]",WNT2B,FZD3_LRP5,WNT2B_FZD3_LRP5,0.5653080030014228,0.16831945860689168,191,22,22,0,484,wntEGC,sfrpEGC
3.0,"[""WNT2B"",""FZD3_LRP5""]",WNT2B,FZD3_LRP5,WNT2B_FZD3_LRP5,0.4909159505385781,0.2786153618981377,198,21,21,0,441,wntEGC,wntEGC
3.5,"[""WNT2B"",""FZD3_LRP5""]",WNT2B,FZD3_LRP5,WNT2B_FZD3_LRP5,0.6151122789475715,0.18598614724492193,194,21,21,0,441,sfrpEGC,sfrpEGC
4.0,"[""WNT2B"",""FZD3_LRP5""]",WNT2B,FZD3_LRP5,WNT2B_FZD3_LRP5,0.35152899810555954,0.27018376685758116,151,20,20,0,400,wntEGC,wntEGC
0.0,"[""WNT2B"",""FZD3_LRP6""]",WNT2B,FZD3_LRP6,WNT2B_FZD3_LRP6,0.24586869594870758,0.12937824086961144,145,18,18,0,324,wntEGC,wntEGC
0.5,"[""WNT2B"",""FZD3_LRP6""]",WNT2B,FZD3_LRP6,WNT2B_FZD3_LRP6,0.29177587957271944,0.1752074119029836,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""WNT2B"",""FZD3_LRP6""]",WNT2B,FZD3_LRP6,WNT2B_FZD3_LRP6,0.29048124766078515,0.21671297383395485,131,19,19,0,361,wntEGC,wntEGC
